"","Estimate","Std_Error","DF","T_Value","P_Value"
"(Intercept)",-0.188163776324283,4.64895299718434,656.999999977036,-0.0404744415437725,0.967727179145861
"timepost",-1.40135508071475,5.6947321622863,656.999999978672,-0.246079190518443,0.805697789025474
"angle_typeahead1",5.82649013358134,5.71659598742113,656.999999984902,1.01922370347704,0.308471937922276
"angle_typeahead2",3.85730030358432,6.66179088928751,656.999999980173,0.579018520348192,0.562775131595328
"angle_typeahead3",-1.11850580230883,8.900981113019,656.999999980497,-0.125660956708789,0.900038750906777
"angle_typebehind1",-8.53668795634284,5.6947321622863,656.999999977351,-1.49904994880665,0.134341003452014
"angle_typebehind2",1.58794848092401,5.78639383493261,656.999999979818,0.274427998892423,0.783841993881963
"angle_typebehind3",-1.03437769938226,6.32556806469469,656.999999984206,-0.163523289735115,0.870156725335091
"speed",0.00173448763805073,0.00953281211354104,656.999999977695,0.181949210515431,0.855678706970488
"timepost:angle_typeahead1",2.26125466968838,8.08448337764607,656.99999998294,0.279703051396066,0.779793370721341
"timepost:angle_typeahead2",-0.483032005401739,9.42102539063628,656.999999978741,-0.0512717018979519,0.959124601046949
"timepost:angle_typeahead3",0.613943929276644,12.5831069650936,656.999999983754,0.0487911237645652,0.961100584156424
"timepost:angle_typebehind1",0.495878664157852,8.13692951743576,656.999999986856,0.0609417425940936,0.951424138607932
"timepost:angle_typebehind2",7.71759679013177,8.71351473466945,656.99999998271,0.885704222134943,0.376100985642771
"timepost:angle_typebehind3",3.86383227704238,9.95784944260871,656.999999982854,0.388018748356387,0.698127845961378
